Nom latin,Classe,Ordre,Famille,Nom du gène,Nom de l'espèce,Synonymes,Forme,Type,Vitesse de croissance,Hauteur à maturité (m),Infradensité (tMS/m3),Potentiel allergisant
Clermontia pyrularia,Magnoliopsida,Campanulales,Campanulaceae,Clermontia,pyrularia,,Grand arbuste,Feuillus,Inconnue,3,0.570,0
Clermontia samuelii,Magnoliopsida,Campanulales,Campanulaceae,Clermontia,samuelii,,Arbuste ou buisson,Feuillus,Inconnue,0,0.570,0
Clermontia tuberculata,Magnoliopsida,Campanulales,Campanulaceae,Clermontia,tuberculata,Clermontia tuberculata var. subtuberculata,Grand arbuste,Feuillus,Inconnue,4,0.570,0
Clermontia waimeae,Magnoliopsida,Campanulales,Campanulaceae,Clermontia,waimeae,Clermontia parviflora var. calycina. Clermontia waimeae var. obovata. Clermontia waimeae var. longisepala,Grand arbuste,Feuillus,Inconnue,3,0.570,0
Clerodendrum bungei,Magnoliopsida,Lamiales,Verbenaceae,Clerodendrum,bungei,Clerodendrum foetidum,Grand arbuste,Feuillus,Rapide,4,0.627,0
Clerodendrum chinense,Magnoliopsida,Lamiales,Verbenaceae,Clerodendrum,chinense,Clerodendrum fragrans. Clerodendrum fragrans var. multiplex. Clerodendrum philippinum,Grand arbuste,Feuillus,Rapide,4,0.627,0
Clerodendrum floribundum,Magnoliopsida,Lamiales,Verbenaceae,Clerodendrum,floribundum,,Arbuste ou buisson,Feuillus,Rapide,1,0.627,0
Clerodendrum japonicum,Magnoliopsida,Lamiales,Verbenaceae,Clerodendrum,japonicum,,Grand arbuste,Feuillus,Rapide,4,0.627,0
Clerodendrum japonicum v. japonicum,Magnoliopsida,Lamiales,Verbenaceae,Clerodendrum,japonicum v. japonicum,Clerodendrum kaempferi,Grand arbuste,Feuillus,Rapide,4,0.627,0
Clerodendrum laevifolium,Magnoliopsida,Lamiales,Verbenaceae,Clerodendrum,laevifolium,Clerodendrum wallichii,Grand arbuste,Feuillus,Rapide,4,0.627,0
Clerodendrum macrostegium,Magnoliopsida,Lamiales,Verbenaceae,Clerodendrum,macrostegium,,Grand arbuste,Feuillus,Rapide,4,0.627,0
Clerodendrum quadriloculare,Magnoliopsida,Lamiales,Verbenaceae,Clerodendrum,quadriloculare,,Grand arbuste,Feuillus,Rapide,3,0.627,0
Clerodendrum speciosissimum,Magnoliopsida,Lamiales,Verbenaceae,Clerodendrum,speciosissimum,,Grand arbuste,Feuillus,Rapide,4,0.627,0
Clerodendrum speciosum,Magnoliopsida,Lamiales,Verbenaceae,Clerodendrum,x speciosum,,Grand arbuste,Feuillus,Rapide,4,0.627,0
Clerodendrum trichotomum,Magnoliopsida,Lamiales,Verbenaceae,Clerodendrum,trichotomum,,Grand arbuste,Feuillus,Rapide,4,0.627,0
Clerodendrum umbellatum,Magnoliopsida,Lamiales,Verbenaceae,Clerodendrum,umbellatum,,Grand arbuste,Feuillus,Rapide,4,0.627,0
Clethra acuminata,Magnoliopsida,Ericales,Clethraceae,Clethra,acuminata,,Grand arbuste,Feuillus,Lente,6,0.530,0
Clethra alnifolia,Magnoliopsida,Ericales,Clethraceae,Clethra,alnifolia,Clethra tomentosa. Clethra alnifolia var. tomentosa,Grand arbuste,Feuillus,Lente,6,0.530,0
Clethra arborea,Magnoliopsida,Ericales,Clethraceae,Clethra,arborea,,Grand arbuste,Feuillus,Moyenne,2,0.530,0
Clethra fimbriata,Magnoliopsida,Ericales,Clethraceae,Clethra,fimbriata,,Grand arbuste,Feuillus,Lente,14,0.530,0
Clethra mexicana,Magnoliopsida,Ericales,Clethraceae,Clethra,mexicana,,Arbre,Feuillus,Inconnue,7,0.550,0
Clethra scabra,Magnoliopsida,Ericales,Clethraceae,Clethra,scabra,,Arbre,Feuillus,Inconnue,8,0.486,0
Cleyera albopunctata,Magnoliopsida,Theales,Theaceae,Cleyera,albopunctata,Eroteum albopunctatum. Ternstroemia albopunctata,Arbre,Feuillus,Inconnue,9,0.575,0
Cleyera japonica,Magnoliopsida,Theales,Theaceae,Cleyera,japonica,,Arbuste ou buisson,Feuillus,Inconnue,0,0.547,0
Clibadium erosum,Magnoliopsida,Asterales,Asteraceae,Clibadium,erosum,,Arbuste ou buisson,Feuillus,Inconnue,0,0.590,0
Clibadium surinamense,Magnoliopsida,Asterales,Asteraceae,Clibadium,surinamense,,Grand arbuste,Feuillus,Moyenne,6,0.590,0
Clidemia domingensis,Magnoliopsida,Myrtales,Melastomataceae,Clidemia,domingensis,Sagraea domingensis,Arbuste ou buisson,Feuillus,Inconnue,0,0.673,0
Clidemia eggersii,Magnoliopsida,Myrtales,Melastomataceae,Clidemia,eggersii,Clidemia cymosa,Arbuste ou buisson,Feuillus,Inconnue,0,0.673,0
Clidemia hirta,Magnoliopsida,Myrtales,Melastomataceae,Clidemia,hirta,Melastoma hirtum,Arbuste ou buisson,Feuillus,Inconnue,0,0.673,0
Clidemia strigillosa,Magnoliopsida,Myrtales,Melastomataceae,Clidemia,strigillosa,Melastoma strigillosum,Arbuste ou buisson,Feuillus,Inconnue,0,0.673,0
Clidemia umbrosa,Magnoliopsida,Myrtales,Melastomataceae,Clidemia,umbrosa,Sagraea umbrosa,Arbuste ou buisson,Feuillus,Inconnue,0,0.673,0
Cliftonia monophylla,Magnoliopsida,Ericales,Cyrillaceae,Cliftonia,monophylla,,Arbuste ou buisson,Feuillus,Inconnue,0,0.590,0
Clinopodium carolinianum,Magnoliopsida,Lamiales,Lamiaceae,Clinopodium,carolinianum,Satureja caroliniana. Clinopodium georgianum. Satureja georgiana. Calamintha georgiana,Arbuste ou buisson,Feuillus,Inconnue,0,0.610,0
Clinopodium coccineum,Magnoliopsida,Lamiales,Lamiaceae,Clinopodium,coccineum,Satureja coccinea. Cunila coccinea. Clinopodium macrocalyx. Calamintha coccinea,Arbuste ou buisson,Feuillus,Inconnue,0,0.610,0
Clinopodium dentatum,Magnoliopsida,Lamiales,Lamiaceae,Clinopodium,dentatum,Calamintha dentata. Satureja dentata,Arbuste ou buisson,Feuillus,Inconnue,0,0.610,0
Clinostigma ponapense,Liliopsida,Arecales,Arecaceae,Clinostigma,ponapense,,Grand arbuste,Feuillus,Inconnue,0,0.557,0
Clitoria arborea,Magnoliopsida,Fabales,Fabaceae,Clitoria,arborea,,Arbre,Feuillus,Moyenne,10,0.724,0
Clitoria fairchildiana,Magnoliopsida,Fabales,Fabaceae,Clitoria,fairchildiana,,Arbre,Feuillus,Rapide,9,0.724,0
Clusia clusioides,Magnoliopsida,Theales,Clusiaceae,Clusia,clusioides,Clusia krugiana. Clusia grisebachiana,Arbre,Feuillus,Moyenne,10,0.654,0
Clusia fluminensis,Magnoliopsida,Theales,Clusiaceae,Clusia,fluminensis,,Arbre,Feuillus,Inconnue,9,0.654,0
Clusia gundlachii,Magnoliopsida,Theales,Clusiaceae,Clusia,gundlachii,,Grand arbuste,Feuillus,Moyenne,10,0.900,0
Clusia minor,Magnoliopsida,Theales,Clusiaceae,Clusia,minor,,Grand arbuste,Feuillus,Moyenne,10,0.654,0
Clusia multiflora,Magnoliopsida,Theales,Clusiaceae,Clusia,multiflora,,Arbre,Feuillus,Rapide,14,0.654,0
Clusia orthoneura,Magnoliopsida,Theales,Clusiaceae,Clusia,orthoneura,,Grand arbuste,Feuillus,Rapide,4,0.654,0
Clusia rosea,Magnoliopsida,Theales,Clusiaceae,Clusia,rosea,,Arbre,Feuillus,Moyenne,10,0.605,0
Cneoridium dumosum,Magnoliopsida,Sapindales,Rutaceae,Cneoridium,dumosum,Pitavia dumosa,Arbuste ou buisson,Feuillus,Inconnue,0,0.640,0
Cnidoscolus aconitifolius,Magnoliopsida,Euphorbiales,Euphorbiaceae,Cnidoscolus,aconitifolius,Jatropha aconitifolia,Grand arbuste,Feuillus,Rapide,3,0.508,0
Coccoloba acuminata,Magnoliopsida,Polygonales,Polygonaceae,Coccoloba,acuminata,,Arbre,Feuillus,Rapide,7,0.580,0
Coccoloba costata,Magnoliopsida,Polygonales,Polygonaceae,Coccoloba,costata,Coccoloba rupicola,Grand arbuste,Feuillus,Moyenne,16,0.604,0
Coccoloba diversifolia,Magnoliopsida,Polygonales,Polygonaceae,Coccoloba,diversifolia,Coccoloba laurifolia. Coccoloba floridana,Arbre,Feuillus,Moyenne,7,0.800,0
Coccoloba krugii,Magnoliopsida,Polygonales,Polygonaceae,Coccoloba,krugii,,Grand arbuste,Feuillus,Moyenne,16,0.604,0
Coccoloba microstachya,Magnoliopsida,Polygonales,Polygonaceae,Coccoloba,microstachya,Coccoloba obtusifolia,Grand arbuste,Feuillus,Moyenne,10,0.604,0
Coccoloba obovata,Magnoliopsida,Polygonales,Polygonaceae,Coccoloba,obovata,Coccoloba lehmannii,Grand arbuste,Feuillus,Rapide,6,0.604,0
Coccoloba pallida,Magnoliopsida,Polygonales,Polygonaceae,Coccoloba,pallida,,Grand arbuste,Feuillus,Moyenne,16,0.604,0
Coccoloba pubescens,Magnoliopsida,Polygonales,Polygonaceae,Coccoloba,pubescens,Coccoloba grandifolia,Arbre,Feuillus,Rapide,18,1.000,0
Coccoloba pyrifolia,Magnoliopsida,Polygonales,Polygonaceae,Coccoloba,pyrifolia,,Grand arbuste,Feuillus,Moyenne,16,0.604,0
Coccoloba rugosa,Magnoliopsida,Polygonales,Polygonaceae,Coccoloba,rugosa,,Grand arbuste,Feuillus,Moyenne,6,0.604,0
Coccoloba sintenisii,Magnoliopsida,Polygonales,Polygonaceae,Coccoloba,sintenisii,,Arbre,Feuillus,Moyenne,16,0.604,0
Coccoloba swartzii,Magnoliopsida,Polygonales,Polygonaceae,Coccoloba,swartzii,Coccoloba swartzii var. portoricensis. Coccoloba borinquensis,Grand arbuste,Feuillus,Moyenne,11,0.700,0
Coccoloba tenuifolia,Magnoliopsida,Polygonales,Polygonaceae,Coccoloba,tenuifolia,,Grand arbuste,Feuillus,Moyenne,16,0.604,0
Coccoloba uvifera,Magnoliopsida,Polygonales,Polygonaceae,Coccoloba,uvifera,Polygonum uvifera,Grand arbuste,Feuillus,Lente,11,0.700,0
Coccoloba venosa,Magnoliopsida,Polygonales,Polygonaceae,Coccoloba,venosa,,Grand arbuste,Feuillus,Moyenne,16,0.604,0
Cocculus laurifolius,Magnoliopsida,Ranunculales,Menispermaceae,Cocculus,laurifolius,,Grand arbuste,Feuillus,Lente,7,0.545,0
Cochlospermum orinocense,Magnoliopsida,Violales,Bixaceae,Cochlospermum,orinocense,,Arbre,Feuillus,Rapide,29,0.224,0
Cochlospermum vitifolium,Magnoliopsida,Violales,Bixaceae,Cochlospermum,vitifolium,Bombax vitifolium,Arbre,Feuillus,Inconnue,7,0.218,0
Codariocalyx gyroides,Magnoliopsida,Fabales,Fabaceae,Codariocalyx,gyroides,Desmodium gyroides,Arbuste ou buisson,Feuillus,Inconnue,0,0.724,0
Codiaeum variegatum,Magnoliopsida,Euphorbiales,Euphorbiaceae,Codiaeum,variegatum,,Arbuste ou buisson,Feuillus,Moyenne,1,0.508,0
Codonocarpus cotinifolius,Magnoliopsida,Brassicales,Gyrostemonaceae,Codonocarpus,cotinifolius,,Grand arbuste,Feuillus,Rapide,3,0.375,0
Coffea arabica,Magnoliopsida,Rubiales,Rubiaceae,Coffea,arabica,,Grand arbuste,Feuillus,Moyenne,4,0.620,0
Coffea canephora,Magnoliopsida,Rubiales,Rubiaceae,Coffea,canephora,Coffea robusta,Grand arbuste,Feuillus,Inconnue,9,0.636,0
Coffea liberica,Magnoliopsida,Rubiales,Rubiaceae,Coffea,liberica,Coffea excelsa. Coffea dewevrei,Grand arbuste,Feuillus,Inconnue,19,0.636,0
Cojoba arborea,Magnoliopsida,Fabales,Fabaceae,Cojoba,arborea,Pithecellobium arboreum,Arbre,Feuillus,Moyenne,17,0.724,0
Cojoba graciliflora,Magnoliopsida,Fabales,Fabaceae,Cojoba,graciliflora,Pithecellobium graciliflorum,Grand arbuste,Feuillus,Moyenne,12,0.724,0
Cola acuminata,Magnoliopsida,Malvales,Sterculiaceae,Cola,acuminata,,Arbre,Feuillus,Inconnue,23,0.508,0
Cola cordifolia,Magnoliopsida,Malvales,Sterculiaceae,Cola,cordifolia,,Arbre,Feuillus,Lente,18,0.523,0
Coleogyne ramosissima,Magnoliopsida,Rosales,Rosaceae,Coleogyne,ramosissima,,Arbuste ou buisson,Feuillus,Inconnue,0,0.598,0
Coleonema album,Magnoliopsida,Sapindales,Rutaceae,Coleonema,album,,Arbuste ou buisson,Feuillus,Moyenne,2,0.640,0
Colona scabra,Magnoliopsida,Malvales,Malvaceae,Colona,scabra,,Grand arbuste,Feuillus,Inconnue,0,0.340,0
Colubrina arborescens,Magnoliopsida,Rhamnales,Rhamnaceae,Colubrina,arborescens,Colubrina colubrina,Grand arbuste,Feuillus,Lente,6,0.700,0
Colubrina asiatica,Magnoliopsida,Rhamnales,Rhamnaceae,Colubrina,asiatica,,Grand arbuste,Feuillus,Lente,10,0.555,0
Colubrina californica,Magnoliopsida,Rhamnales,Rhamnaceae,Colubrina,californica,Colubrina texensis var. californica,Grand arbuste,Feuillus,Lente,10,0.555,0
Colubrina cubensis,Magnoliopsida,Rhamnales,Rhamnaceae,Colubrina,cubensis,,Grand arbuste,Feuillus,Lente,10,0.555,0
Colubrina elliptica,Magnoliopsida,Rhamnales,Rhamnaceae,Colubrina,elliptica,Colubrina reclinata,Grand arbuste,Feuillus,Lente,10,0.800,0
Colubrina glandulosa,Magnoliopsida,Rhamnales,Rhamnaceae,Colubrina,glandulosa,,Grand arbuste,Feuillus,Lente,10,0.739,0
Colubrina greggii,Magnoliopsida,Rhamnales,Rhamnaceae,Colubrina,greggii,,Grand arbuste,Feuillus,Lente,10,0.555,0
Colubrina oppositifolia,Magnoliopsida,Rhamnales,Rhamnaceae,Colubrina,oppositifolia,,Grand arbuste,Feuillus,Lente,10,0.555,0
Colubrina stricta,Magnoliopsida,Rhamnales,Rhamnaceae,Colubrina,stricta,,Grand arbuste,Feuillus,Lente,10,0.555,0
Colubrina texensis,Magnoliopsida,Rhamnales,Rhamnaceae,Colubrina,texensis,,Grand arbuste,Feuillus,Lente,10,0.555,0
Colubrina verrucosa,Magnoliopsida,Rhamnales,Rhamnaceae,Colubrina,verrucosa,Hybosperma spinosum. Colubrina urbanii,Grand arbuste,Feuillus,Lente,10,0.555,0
Colutea arborescens,Magnoliopsida,Fabales,Fabaceae,Colutea,arborescens,,Arbuste ou buisson,Feuillus,Moyenne,2,0.724,0
Colvillea racemosa,Magnoliopsida,Fabales,Fabaceae,Colvillea,racemosa,,Arbre,Feuillus,Inconnue,30,0.724,0
Comarostaphylis diversifolia,Magnoliopsida,Ericales,Ericaceae,Comarostaphylis,diversifolia,,Arbuste ou buisson,Feuillus,Inconnue,0,0.582,0
Combretum glutinosum,Magnoliopsida,Myrtales,Combretaceae,Combretum,glutinosum,,Arbre,Feuillus,Lente,9,0.900,0
Combretum nigricans,Magnoliopsida,Myrtales,Combretaceae,Combretum,nigricans,,Arbre,Feuillus,Moyenne,11,0.690,0
Combretum tetralophum,Magnoliopsida,Myrtales,Combretaceae,Combretum,tetralophum,,Grand arbuste,Feuillus,Inconnue,5,0.690,0
Commersonia bartramia,Magnoliopsida,Malvales,Malvaceae,Commersonia,bartramia,,Grand arbuste,Feuillus,Rapide,6,0.400,0
Commiphora africana,Magnoliopsida,Sapindales,Burseraceae,Commiphora,africana,,Grand arbuste,Feuillus,Lente,5,0.276,0
Comocladia dodonaea,Magnoliopsida,Sapindales,Anacardiaceae,Comocladia,dodonaea,,Grand arbuste,Feuillus,Inconnue,3,0.530,0
Comocladia glabra,Magnoliopsida,Sapindales,Anacardiaceae,Comocladia,glabra,,Grand arbuste,Feuillus,Inconnue,6,0.530,0
Condalia correllii,Magnoliopsida,Rhamnales,Rhamnaceae,Condalia,correllii,,Grand arbuste,Feuillus,Moyenne,10,0.555,0
Condalia ericoides,Magnoliopsida,Rhamnales,Rhamnaceae,Condalia,ericoides,Microrhamnus ericoides,Grand arbuste,Feuillus,Moyenne,10,0.555,0
Condalia globosa,Magnoliopsida,Rhamnales,Rhamnaceae,Condalia,globosa,,Grand arbuste,Feuillus,Moyenne,6,0.555,0
Condalia hookeri,Magnoliopsida,Rhamnales,Rhamnaceae,Condalia,hookeri,,Grand arbuste,Feuillus,Moyenne,10,0.555,0
Condalia mexicana,Magnoliopsida,Rhamnales,Rhamnaceae,Condalia,mexicana,,Arbuste ou buisson,Feuillus,Inconnue,1,0.555,0
Condalia spathulata,Magnoliopsida,Rhamnales,Rhamnaceae,Condalia,spathulata,,Grand arbuste,Feuillus,Moyenne,10,0.555,0
Condalia velutina,Magnoliopsida,Rhamnales,Rhamnaceae,Condalia,velutina,,Grand arbuste,Feuillus,Moyenne,1,0.555,0
Condalia viridis,Magnoliopsida,Rhamnales,Rhamnaceae,Condalia,viridis,,Grand arbuste,Feuillus,Moyenne,10,0.555,0
Condalia warnockii,Magnoliopsida,Rhamnales,Rhamnaceae,Condalia,warnockii,,Grand arbuste,Feuillus,Moyenne,10,0.555,0
Condea emoryi,Liliopsida,Asparagales,Amaryllidaceae,Condea,emoryi,Hyptis emoryi,Arbuste ou buisson,Feuillus,Inconnue,0,0.570,0
Congea tomentosa,Magnoliopsida,Lamiales,Lamiaceae,Congea,tomentosa,,Grand arbuste,Feuillus,Moyenne,3,0.610,0
Conocarpus erectus,Magnoliopsida,Myrtales,Combretaceae,Conocarpus,erectus,Conocarpus erectus var. sericeus. Conocarpus erectus v argenteus,Grand arbuste,Feuillus,Moyenne,10,0.690,0
Conostegia rufescens,Magnoliopsida,Myrtales,Melastomataceae,Conostegia,rufescens,Conostegia hotteana. Conostegia puberula,Arbre,Feuillus,Inconnue,19,0.673,0
Conostegia xalapensis,Magnoliopsida,Myrtales,Melastomataceae,Conostegia,xalapensis,,Grand arbuste,Feuillus,Lente,7,0.673,0
Conradina canescens,Magnoliopsida,Lamiales,Lamiaceae,Conradina,canescens,Conradina puberula. Conradina brevifolia. Calamintha canescens,Arbuste ou buisson,Feuillus,Inconnue,0,0.610,0
Conradina glabra,Magnoliopsida,Lamiales,Lamiaceae,Conradina,glabra,,Arbuste ou buisson,Feuillus,Inconnue,0,0.610,0
Conradina grandiflora,Magnoliopsida,Lamiales,Lamiaceae,Conradina,grandiflora,,Arbuste ou buisson,Feuillus,Inconnue,0,0.610,0
Conradina grandiflora v. etonia,Magnoliopsida,Lamiales,Lamiaceae,Conradina,grandiflora v. etonia,Conradina etonia,Arbuste ou buisson,Feuillus,Inconnue,0,0.610,0
Conradina verticillata,Magnoliopsida,Lamiales,Lamiaceae,Conradina,verticillata,Conradina montana,Arbuste ou buisson,Feuillus,Inconnue,0,0.610,0
Conzattia multiflora,Magnoliopsida,Fabales,Fabaceae,Conzattia,multiflora,,Grand arbuste,Feuillus,Inconnue,2,0.724,0
Copaifera canime,Magnoliopsida,Fabales,Fabaceae,Copaifera,canime,,Grand arbuste,Feuillus,Inconnue,0,0.724,0
Copaifera lucens,Magnoliopsida,Fabales,Fabaceae,Copaifera,lucens,,Arbre,Feuillus,Inconnue,39,0.724,0
Copaifera officinalis,Magnoliopsida,Fabales,Fabaceae,Copaifera,officinalis,,Arbre,Feuillus,Inconnue,30,0.627,0
Copaifera trapezifolia,Magnoliopsida,Fabales,Fabaceae,Copaifera,trapezifolia,,Arbre,Feuillus,Inconnue,39,0.724,0
Coprosma ernodeoides,Magnoliopsida,Rubiales,Rubiaceae,Coprosma,ernodeoides,Coprosma ernodeoides var. mauiensis,Arbuste ou buisson,Feuillus,Inconnue,0,0.636,0
Coprosma foliosa,Magnoliopsida,Rubiales,Rubiaceae,Coprosma,foliosa,Coprosma stephanocarpa. Coprosma fauriei var. oahuensis. Coprosma fauriei. Coprosma fauriei var. lanaiensis. Coprosma skottsbergiana,Grand arbuste,Feuillus,Inconnue,4,0.636,0
Coprosma kauensis,Magnoliopsida,Rubiales,Rubiaceae,Coprosma,kauensis,,Grand arbuste,Feuillus,Inconnue,5,0.636,0
Coprosma longifolia,Magnoliopsida,Rubiales,Rubiaceae,Coprosma,longifolia,Coprosma longifolia var. oppositifolia,Grand arbuste,Feuillus,Inconnue,5,0.636,0
Coprosma molokaiensis,Magnoliopsida,Rubiales,Rubiaceae,Coprosma,x molokaiensis,,Arbuste ou buisson,Feuillus,Inconnue,0,0.636,0
Coprosma montana,Magnoliopsida,Rubiales,Rubiaceae,Coprosma,montana,Coprosma montana var. orbicularis. Coprosma montana var. crassa,Grand arbuste,Feuillus,Inconnue,3,0.636,0
Coprosma ochracea,Magnoliopsida,Rubiales,Rubiaceae,Coprosma,ochracea,Coprosma pubens var. sessiliflora. Coprosma ochracea var. rockiana. Coprosma ochracea var. kaalae,Grand arbuste,Feuillus,Inconnue,3,0.636,0
Coprosma pubens,Magnoliopsida,Rubiales,Rubiaceae,Coprosma,pubens,Coprosma serrata,Grand arbuste,Feuillus,Inconnue,5,0.636,0
Coprosma repens,Magnoliopsida,Rubiales,Rubiaceae,Coprosma,repens,,Arbuste ou buisson,Feuillus,Inconnue,0,0.636,0
Coprosma rhynchocarpa,Magnoliopsida,Rubiales,Rubiaceae,Coprosma,rhynchocarpa,,Grand arbuste,Feuillus,Inconnue,5,0.636,0
Coprosma ternata,Magnoliopsida,Rubiales,Rubiaceae,Coprosma,ternata,,Arbuste ou buisson,Feuillus,Inconnue,0,0.636,0
Coprosma waimeae,Magnoliopsida,Rubiales,Rubiaceae,Coprosma,waimeae,,Grand arbuste,Feuillus,Inconnue,5,0.636,0
Cordia africana,Magnoliopsida,Lamiales,Boraginaceae,Cordia,africana,,Arbre,Feuillus,Rapide,27,0.466,0
Cordia alliodora,Magnoliopsida,Lamiales,Boraginaceae,Cordia,alliodora,Cerdana alliodora,Arbre,Feuillus,Lente,21,0.520,0
Cordia aspera,Magnoliopsida,Lamiales,Boraginaceae,Cordia,aspera,,Grand arbuste,Feuillus,Inconnue,0,0.540,0
Cordia boissieri,Magnoliopsida,Lamiales,Boraginaceae,Cordia,boissieri,,Grand arbuste,Feuillus,Lente,5,0.540,0
Cordia borinquensis,Magnoliopsida,Lamiales,Boraginaceae,Cordia,borinquensis,,Grand arbuste,Feuillus,Lente,10,0.700,0
Cordia collococca,Magnoliopsida,Lamiales,Boraginaceae,Cordia,collococca,Cordia glabra,Arbre,Feuillus,Lente,10,0.420,0
Cordia dentata,Magnoliopsida,Lamiales,Boraginaceae,Cordia,dentata,,Arbre,Feuillus,Moyenne,15,0.500,0
Cordia dichotoma,Magnoliopsida,Lamiales,Boraginaceae,Cordia,dichotoma,,Arbre,Feuillus,Lente,10,0.451,0
Cordia dodecandra,Magnoliopsida,Lamiales,Boraginaceae,Cordia,dodecandra,,Arbre,Feuillus,Inconnue,9,0.650,0
Cordia elaeagnoides,Magnoliopsida,Lamiales,Boraginaceae,Cordia,elaeagnoides,,Grand arbuste,Feuillus,Inconnue,3,0.880,0
Cordia gerascanthus,Magnoliopsida,Lamiales,Boraginaceae,Cordia,gerascanthus,,Arbre,Feuillus,Lente,10,0.745,0
Cordia hatschbachii,Magnoliopsida,Lamiales,Boraginaceae,Cordia,hatschbachii,,Arbre,Feuillus,Inconnue,15,0.540,0
Cordia laevigata,Magnoliopsida,Lamiales,Boraginaceae,Cordia,laevigata,Cordia nitida,Grand arbuste,Feuillus,Lente,7,0.540,0
Cordia lutea,Magnoliopsida,Lamiales,Boraginaceae,Cordia,lutea,,Grand arbuste,Feuillus,Moyenne,4,0.540,0
Cordia magnoliifolia,Magnoliopsida,Lamiales,Boraginaceae,Cordia,magnoliifolia,,Arbre,Feuillus,Inconnue,9,0.540,0
Cordia micronesica,Magnoliopsida,Lamiales,Boraginaceae,Cordia,micronesica,,Grand arbuste,Feuillus,Inconnue,0,0.540,0
Cordia myxa,Magnoliopsida,Lamiales,Boraginaceae,Cordia,myxa,,Grand arbuste,Feuillus,Lente,10,0.363,0
Cordia obliqua,Magnoliopsida,Lamiales,Boraginaceae,Cordia,obliqua,,Arbre,Feuillus,Lente,10,0.540,0
Cordia parvifolia,Magnoliopsida,Lamiales,Boraginaceae,Cordia,parvifolia,,Grand arbuste,Feuillus,Lente,10,0.540,0
Cordia rickseckeri,Magnoliopsida,Lamiales,Boraginaceae,Cordia,rickseckeri,Sebesten rickseckeri,Grand arbuste,Feuillus,Lente,6,0.540,0
Cordia sebestena,Magnoliopsida,Lamiales,Boraginaceae,Cordia,sebestena,Sebesten sebestena,Grand arbuste,Feuillus,Lente,6,0.700,0
Cordia seleriana,Magnoliopsida,Lamiales,Boraginaceae,Cordia,seleriana,,Grand arbuste,Feuillus,Lente,3,0.780,0
Cordia sellowiana,Magnoliopsida,Lamiales,Boraginaceae,Cordia,sellowiana,,Arbre,Feuillus,Inconnue,12,0.540,0
Cordia sinensis,Magnoliopsida,Lamiales,Boraginaceae,Cordia,sinensis,Cordia angustifolia,Arbre,Feuillus,Lente,10,0.540,0
Cordia subcordata,Magnoliopsida,Lamiales,Boraginaceae,Cordia,subcordata,,Arbre,Feuillus,Rapide,7,0.496,0
Cordia sulcata,Magnoliopsida,Lamiales,Boraginaceae,Cordia,sulcata,,Arbre,Feuillus,Lente,10,0.600,0
Cordia superba,Magnoliopsida,Lamiales,Boraginaceae,Cordia,superba,,Arbre,Feuillus,Inconnue,7,0.540,0
Cordia tetrandra,Magnoliopsida,Lamiales,Boraginaceae,Cordia,tetrandra,,Arbre,Feuillus,Moyenne,14,0.345,0
Cordia trichoclada,Magnoliopsida,Lamiales,Boraginaceae,Cordia,trichoclada,,Arbre,Feuillus,Inconnue,15,0.540,0
Cordia trichotoma,Magnoliopsida,Lamiales,Boraginaceae,Cordia,trichotoma,,Arbre,Feuillus,Inconnue,30,0.630,0
Cordyla pinnata,Magnoliopsida,Fabales,Fabaceae,Cordyla,pinnata,,Arbre,Feuillus,Lente,18,0.754,0
Cornus alba,Magnoliopsida,Cornales,Cornaceae,Cornus,alba,,Grand arbuste,Feuillus,Inconnue,3,0.680,1
Cornus alternifolia,Magnoliopsida,Cornales,Cornaceae,Cornus,alternifolia,Swida alternifolia,Grand arbuste,Feuillus,Moyenne,6,0.680,1
Cornus amomum,Magnoliopsida,Cornales,Cornaceae,Cornus,amomum,Swida amomum,Grand arbuste,Feuillus,Moyenne,9,0.680,1
Cornus amomum ssp. obliqua,Magnoliopsida,Cornales,Cornaceae,Cornus,amomum ssp. obliqua,Cornus obliqua. Cornus amomum var. schuetzeana. Cornus purpusii,Arbuste ou buisson,Feuillus,Moyenne,2,0.680,1
Cornus arnoldiana,Magnoliopsida,Cornales,Cornaceae,Cornus,x arnoldiana,,Grand arbuste,Feuillus,Moyenne,5,0.680,1
Cornus asperifolia,Magnoliopsida,Cornales,Cornaceae,Cornus,asperifolia,Swida asperifolia. Cornus foemina ssp. microcarpa. Swida microcarpa,Grand arbuste,Feuillus,Moyenne,9,0.680,1
Cornus capitata,Magnoliopsida,Cornales,Cornaceae,Cornus,capitata,,Grand arbuste,Feuillus,Moyenne,5,0.680,1
Cornus controversa,Magnoliopsida,Cornales,Cornaceae,Cornus,controversa,,Grand arbuste,Feuillus,Rapide,4,0.535,1
Cornus drummondii,Magnoliopsida,Cornales,Cornaceae,Cornus,drummondii,Swida priceae. Cornus priceae,Grand arbuste,Feuillus,Moyenne,5,0.680,1
Cornus florida,Magnoliopsida,Cornales,Cornaceae,Cornus,florida,Cynoxylon floridum,Grand arbuste,Feuillus,Moyenne,6,0.640,1
Cornus florida v. florida,Magnoliopsida,Cornales,Cornaceae,Cornus,florida v. florida,Cornus florida v. rubra,Grand arbuste,Feuillus,Inconnue,0,0.680,1
Cornus foemina,Magnoliopsida,Cornales,Cornaceae,Cornus,foemina,Swida stricta. Swida foemina. Cornus stricta,Grand arbuste,Feuillus,Moyenne,4,0.680,1
